priority_rank,risk_score,risk_score_100,risk_band,risk_percentile_group,recommended_action,actual_fraud,months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,policy_duration_days,claim_to_premium_ratio,injury_claim_ratio,property_claim_ratio,vehicle_claim_ratio,is_night_incident,multi_vehicle_flag
72,0.3141679426231577,31.42,Low,High,Routine Processing,1,88,25,IN,250/500,1000,1194.0,0,FEMALE,JD,handlers-cleaners,movies,husband,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbrook,6,1,YES,1,2,YES,66780,7420,7420,51940,Ford,Escape,2013,2668,55.92964824120603,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,0
73,0.3130411418399024,31.3,Low,High,Routine Processing,0,180,35,IL,500/1000,1000,1252.48,0,MALE,MD,machine-op-inspct,yachting,wife,0,-55800,Vehicle Theft,,Minor Damage,,OH,Springfield,17,1,,1,3,NO,5100,1020,510,3570,Chevrolet,Malibu,2000,3495,4.071921308124681,0.2,0.1,0.7,0,0
74,0.297369296123637,29.74,Low,High,Routine Processing,0,240,40,IN,100/300,500,1533.71,9000000,FEMALE,JD,protective-serv,polo,own-child,0,-70900,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,Northbend,18,2,YES,0,2,,66550,6050,12100,48400,Ford,Escape,2008,3773,43.39151469312973,0.0909090909090909,0.1818181818181818,0.7272727272727273,0,1
75,0.2910828853316444,29.11,Low,High,Routine Processing,1,65,23,OH,250/500,1000,1099.95,0,FEMALE,College,sales,dancing,wife,0,-71900,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Arlington,14,1,NO,1,0,YES,52400,6550,6550,39300,Accura,MDX,2005,5513,47.63852902404655,0.125,0.125,0.75,0,0
76,0.2870545626920439,28.71,Low,High,Routine Processing,0,269,41,IN,100/300,500,1463.82,0,FEMALE,College,protective-serv,yachting,not-in-family,0,-72300,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbend,23,1,YES,0,0,,79300,15860,15860,47580,Saab,92x,2007,8863,54.173327321665234,0.2,0.2,0.6,1,0
77,0.282067540555206,28.21,Low,High,Routine Processing,0,182,40,IN,100/300,1000,1022.42,0,MALE,PhD,other-service,skydiving,husband,50000,-56900,Single Vehicle Collision,Front Collision,Total Loss,Other,SC,Northbend,13,1,YES,0,2,,71100,7110,14220,49770,Audi,A3,2008,1163,69.54089317501614,0.1,0.2,0.7,0,0
78,0.2724006605408376,27.24,Low,High,Routine Processing,0,73,29,IL,250/500,1000,1447.78,0,MALE,College,protective-serv,board-games,wife,35100,-59900,Multi-vehicle Collision,Rear Collision,Total Loss,Other,SC,Arlington,15,3,YES,1,0,,44910,4990,4990,34930,Dodge,Neon,2001,8016,31.01990633936095,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,1
79,0.2720905633544545,27.21,Low,High,Routine Processing,1,10,19,IN,250/500,1000,1185.78,0,FEMALE,JD,craft-repair,yachting,wife,0,-60700,Single Vehicle Collision,Side Collision,Minor Damage,Police,NC,Northbend,5,1,,0,2,,48950,4450,8900,35600,Accura,TL,2011,180,41.28084467607819,0.0909090909090909,0.1818181818181818,0.7272727272727273,1,0
80,0.2573283116770398,25.73,Low,High,Routine Processing,0,426,54,IL,500/1000,2000,1097.71,0,FEMALE,Masters,adm-clerical,reading,not-in-family,29600,-22300,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Springfield,13,1,YES,2,3,,100800,16800,16800,67200,Dodge,Neon,1997,6289,91.827531861785,0.1666666666666666,0.1666666666666666,0.6666666666666666,0,0
81,0.2429070218457359,24.29,Low,Medium,Routine Processing,0,250,43,OH,500/1000,1000,1243.84,0,FEMALE,JD,tech-support,polo,own-child,47900,-73400,Single Vehicle Collision,Side Collision,Minor Damage,Other,VA,Columbus,22,1,YES,1,3,NO,64900,12980,12980,38940,Volkswagen,Jetta,2011,572,52.17712889117572,0.2,0.2,0.6,0,0
82,0.2335212024253702,23.35,Low,Medium,Routine Processing,0,134,32,OH,100/300,1000,1000.06,0,FEMALE,PhD,farming-fishing,base-jumping,wife,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Columbus,17,1,,1,0,,82720,7520,15040,60160,Audi,A3,2014,4962,82.71503709777414,0.0909090909090909,0.1818181818181818,0.7272727272727273,0,0
83,0.2279893585524592,22.8,Low,Medium,Routine Processing,0,124,28,OH,250/500,1000,1235.14,0,MALE,MD,exec-managerial,camping,husband,0,-32100,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Hillsdale,20,3,,0,1,,60200,6020,6020,48160,Volkswagen,Passat,2012,4819,48.73941415548035,0.1,0.1,0.8,0,1
84,0.224378511429852,22.44,Low,Medium,Routine Processing,0,285,44,OH,250/500,2000,1144.3,0,MALE,MD,priv-house-serv,base-jumping,not-in-family,52600,0,Vehicle Theft,,Minor Damage,Police,WV,Northbrook,3,1,YES,1,0,,5500,500,500,4500,Honda,Civic,2010,8568,4.8064318797518135,0.0909090909090909,0.0909090909090909,0.8181818181818182,1,0
85,0.2225042939296432,22.25,Low,Medium,Routine Processing,0,210,37,OH,500/1000,500,1467.76,0,FEMALE,MD,tech-support,hiking,own-child,38700,-33100,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,NY,Northbend,8,1,,1,3,YES,63300,6330,6330,50640,Toyota,Highlander,2000,957,43.12694173434349,0.1,0.1,0.8,0,0
86,0.2208651420462589,22.09,Low,Medium,Routine Processing,1,243,41,IN,100/300,1000,1129.23,0,FEMALE,College,farming-fishing,camping,own-child,17300,-60400,Single Vehicle Collision,Front Collision,Major Damage,Fire,WV,Hillsdale,1,1,,1,0,YES,50300,10060,5030,35210,Suburu,Legacy,1999,6517,44.54362707331544,0.2,0.1,0.7,1,0
87,0.2165390902149589,21.65,Low,Medium,Routine Processing,1,108,33,IL,100/300,2000,694.45,0,FEMALE,JD,armed-forces,exercise,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,6,3,,0,1,YES,64350,5850,11700,46800,Nissan,Pathfinder,2011,9124,92.66325869393044,0.0909090909090909,0.1818181818181818,0.7272727272727273,0,1
88,0.2142383653760111,21.42,Low,Medium,Routine Processing,0,89,32,IN,250/500,1000,988.93,0,FEMALE,High School,craft-repair,golf,unmarried,27600,0,Single Vehicle Collision,Front Collision,Total Loss,Other,NY,Columbus,11,1,,2,3,YES,84590,15380,15380,53830,Dodge,Neon,1999,6610,85.53689341004925,0.1818181818181818,0.1818181818181818,0.6363636363636364,0,0
89,0.2141606687848574,21.42,Low,Medium,Routine Processing,0,266,46,OH,100/300,2000,1578.54,0,MALE,Associate,handlers-cleaners,chess,husband,0,-41400,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,Hillsdale,18,1,NO,1,3,YES,83490,7590,15180,60720,Nissan,Pathfinder,1996,2169,52.89064578661295,0.0909090909090909,0.1818181818181818,0.7272727272727273,0,0
90,0.2124538399886512,21.25,Low,Medium,Routine Processing,0,225,37,OH,100/300,1000,1217.84,5000000,FEMALE,High School,farming-fishing,yachting,not-in-family,49600,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,WV,Northbrook,19,3,,2,2,NO,57600,9600,9600,38400,Volkswagen,Passat,2015,5181,47.2968534454444,0.1666666666666666,0.1666666666666666,0.6666666666666666,0,1
91,0.2009911960905911,20.1,Low,Medium,Routine Processing,1,156,37,IN,250/500,500,1090.65,0,MALE,High School,exec-managerial,golf,unmarried,0,-51800,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NC,Columbus,16,4,,1,2,YES,53400,5340,5340,42720,Honda,Civic,2010,8011,48.96162838674185,0.1,0.1,0.8,0,1
92,0.1971392160741597,19.71,Low,Medium,Routine Processing,0,267,46,OH,250/500,2000,1111.17,0,MALE,MD,craft-repair,base-jumping,unmarried,35000,0,Parked Car,,Trivial Damage,,WV,Arlington,3,1,YES,2,3,YES,4950,900,450,3600,Toyota,Camry,1995,3830,4.454763897513431,0.1818181818181818,0.0909090909090909,0.7272727272727273,1,0
93,0.1910172249140093,19.1,Low,Medium,Routine Processing,0,124,32,IL,250/500,1000,1198.15,0,FEMALE,MD,other-service,hiking,not-in-family,0,-43200,Multi-vehicle Collision,Front Collision,Total Loss,Other,VA,Springfield,19,3,NO,0,2,YES,73560,12260,12260,49040,BMW,X5,1995,8295,61.39465008554855,0.1666666666666666,0.1666666666666666,0.6666666666666666,0,1
94,0.1890022140236937,18.9,Low,Medium,Routine Processing,0,147,37,IN,250/500,1000,1306.78,0,MALE,MD,prof-specialty,video-games,other-relative,0,0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Northbend,22,1,,1,0,NO,81120,13520,20280,47320,Toyota,Camry,1995,8139,62.076248488651494,0.1666666666666666,0.25,0.5833333333333334,0,0
95,0.1844062413115407,18.44,Low,Medium,Routine Processing,0,41,26,IL,100/300,1000,1383.13,0,FEMALE,JD,prof-specialty,exercise,own-child,46700,0,Vehicle Theft,,Trivial Damage,Police,SC,Riverwood,12,1,YES,1,1,,6890,530,1060,5300,Jeep,Grand Cherokee,1997,3259,4.981455105449235,0.0769230769230769,0.1538461538461538,0.7692307692307693,0,0
96,0.1803510322016398,18.04,Low,Medium,Routine Processing,0,91,27,IL,100/300,2000,1073.83,0,FEMALE,JD,farming-fishing,polo,husband,0,0,Vehicle Theft,,Trivial Damage,,NY,Arlington,4,1,,1,2,,7260,1320,660,5280,BMW,M5,2008,7455,6.760846688954491,0.1818181818181818,0.0909090909090909,0.7272727272727273,1,0
97,0.1775138355278993,17.75,Low,Medium,Routine Processing,0,130,34,OH,250/500,500,1383.49,3000000,FEMALE,Masters,armed-forces,bungie-jumping,other-relative,35100,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NC,Arlington,4,3,,2,3,YES,67500,7500,7500,52500,Suburu,Impreza,1996,4358,48.78965514748932,0.1111111111111111,0.1111111111111111,0.7777777777777778,1,1
98,0.1745432696206892,17.45,Low,Medium,Routine Processing,0,131,33,IL,100/300,2000,1081.17,0,MALE,MD,sales,yachting,wife,0,-65200,Parked Car,,Minor Damage,Police,NY,Northbend,3,1,,0,1,NO,4900,490,490,3920,Toyota,Camry,2010,8877,4.532127232535124,0.1,0.1,0.8,1,0
99,0.1737726227933679,17.38,Low,Medium,Routine Processing,0,377,53,IL,100/300,500,1693.63,0,FEMALE,MD,craft-repair,kayaking,unmarried,0,-64000,Multi-vehicle Collision,Front Collision,Total Loss,Fire,WV,Hillsdale,10,3,YES,1,3,NO,59040,6560,6560,45920,Saab,93,2015,6742,34.860034364058265,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,1
100,0.1718296736678528,17.18,Low,Medium,Routine Processing,0,122,34,IN,250/500,1000,1220.71,0,MALE,PhD,machine-op-inspct,video-games,own-child,58600,-28700,Parked Car,,Minor Damage,,SC,Northbend,5,1,,2,1,YES,8190,1890,1260,5040,Chevrolet,Silverado,2013,3193,6.709210213728076,0.2307692307692307,0.1538461538461538,0.6153846153846154,1,0
101,0.1712515454289357,17.13,Low,Medium,Routine Processing,0,347,51,OH,500/1000,500,1480.79,9000000,FEMALE,MD,priv-house-serv,board-games,unmarried,0,-12100,Single Vehicle Collision,Side Collision,Total Loss,Other,NC,Hillsdale,15,1,YES,0,2,,103560,8630,17260,77670,Jeep,Wrangler,1997,6655,69.93564246111873,0.0833333333333333,0.1666666666666666,0.75,0,0
102,0.1710133379523399,17.1,Low,Medium,Routine Processing,0,175,34,IN,500/1000,1000,1123.87,8000000,FEMALE,PhD,protective-serv,dancing,other-relative,0,0,Vehicle Theft,,Trivial Damage,Police,NY,Arlington,5,1,,2,0,YES,7290,810,810,5670,Volkswagen,Passat,1995,2607,6.486515344301388,0.1111111111111111,0.1111111111111111,0.7777777777777778,1,0
103,0.1697002152687262,16.97,Low,Medium,Routine Processing,0,320,48,IL,250/500,2000,1730.49,7000000,MALE,College,transport-moving,hiking,not-in-family,46300,-41700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,WV,Northbrook,13,3,NO,2,0,NO,56160,4680,9360,42120,Saab,95,1995,636,32.45323578870725,0.0833333333333333,0.1666666666666666,0.75,0,1
104,0.163324706878182,16.33,Low,Medium,Routine Processing,0,270,45,OH,500/1000,500,1187.53,0,FEMALE,PhD,priv-house-serv,yachting,not-in-family,83200,-53300,Multi-vehicle Collision,Side Collision,Total Loss,Other,VA,Columbus,23,3,,0,0,YES,54340,9880,0,44460,Saab,92x,2005,4203,45.75884398709928,0.1818181818181818,0.0,0.8181818181818182,1,1
105,0.1607756462629091,16.08,Low,Medium,Routine Processing,0,335,50,OH,100/300,1000,1538.26,6000000,MALE,High School,sales,yachting,other-relative,62200,-31400,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,Riverwood,12,3,YES,2,3,YES,34320,8580,4290,21450,Volkswagen,Passat,2009,2908,22.310922730877746,0.25,0.125,0.625,0,1
106,0.1554754851417847,15.55,Low,Medium,Routine Processing,0,155,35,IL,500/1000,1000,1088.34,0,FEMALE,Associate,adm-clerical,yachting,other-relative,81100,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,16,3,YES,2,3,NO,29790,3310,3310,23170,BMW,3 Series,2008,4225,27.37196096807983,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,1
107,0.153916746937009,15.39,Low,Medium,Routine Processing,0,275,40,OH,250/500,2000,1190.6,0,MALE,Masters,exec-managerial,camping,unmarried,0,-45300,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,OH,Riverwood,17,1,,1,3,YES,43230,7860,7860,27510,Chevrolet,Silverado,2001,8448,36.30942381992273,0.1818181818181818,0.1818181818181818,0.6363636363636364,0,0
108,0.1438685566287438,14.39,Low,Medium,Routine Processing,0,229,37,IN,500/1000,1000,1331.94,0,FEMALE,Masters,farming-fishing,base-jumping,not-in-family,0,-55400,Single Vehicle Collision,Rear Collision,Total Loss,Other,NY,Columbus,17,1,NO,0,2,YES,54560,9920,9920,34720,Saab,95,2004,7289,40.96280613240837,0.1818181818181818,0.1818181818181818,0.6363636363636364,0,0
109,0.1413178454128219,14.13,Low,Medium,Routine Processing,0,130,30,IL,500/1000,2000,1193.4,0,MALE,PhD,exec-managerial,bungie-jumping,own-child,0,-40800,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Columbus,16,3,NO,2,3,,48950,8900,4450,35600,Suburu,Legacy,2005,890,41.0172616054969,0.1818181818181818,0.0909090909090909,0.7272727272727273,0,1
110,0.1401739222285342,14.02,Low,Medium,Routine Processing,0,73,30,OH,100/300,500,803.36,0,FEMALE,High School,protective-serv,reading,husband,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,15,3,,0,0,YES,57000,0,11400,45600,Audi,A3,2013,2117,70.95200159330811,0.0,0.2,0.8,0,1
111,0.1380704877555624,13.81,Low,Medium,Routine Processing,0,122,29,OH,250/500,1000,1629.94,0,FEMALE,Masters,priv-house-serv,skydiving,other-relative,0,-47100,Parked Car,,Trivial Damage,,SC,Riverwood,17,1,,0,1,NO,3850,350,350,3150,Dodge,Neon,2014,8474,2.362050136814852,0.0909090909090909,0.0909090909090909,0.8181818181818182,0,0
112,0.1291073683772385,12.91,Low,Medium,Routine Processing,0,173,36,OH,250/500,1000,1274.63,0,MALE,College,machine-op-inspct,basketball,unmarried,51000,0,Single Vehicle Collision,Rear Collision,Total Loss,Fire,SC,Springfield,22,1,YES,2,3,NO,52030,9460,9460,33110,Accura,MDX,1995,2731,40.819688850882216,0.1818181818181818,0.1818181818181818,0.6363636363636364,0,0
113,0.1237130853219462,12.37,Low,Medium,Routine Processing,0,47,34,IL,500/1000,500,1161.31,0,FEMALE,PhD,exec-managerial,base-jumping,other-relative,64800,-24300,Single Vehicle Collision,Front Collision,Minor Damage,Police,SC,Springfield,23,1,YES,1,3,,62920,11440,5720,45760,Chevrolet,Malibu,2012,4025,54.18019305783986,0.1818181818181818,0.0909090909090909,0.7272727272727273,1,0
114,0.1220617673292417,12.21,Low,Medium,Routine Processing,0,255,41,IL,500/1000,2000,1167.3,4000000,MALE,High School,priv-house-serv,board-games,other-relative,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Hillsdale,22,1,NO,2,0,,69300,13860,13860,41580,Volkswagen,Passat,2000,775,59.36777178103315,0.2,0.2,0.6,0,0
115,0.1205297688107937,12.05,Low,Medium,Routine Processing,0,233,37,IL,100/300,2000,1603.42,0,FEMALE,High School,sales,video-games,wife,61600,-30200,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,17,1,YES,0,2,YES,80520,13420,6710,60390,Toyota,Corolla,2005,8496,50.2176597522795,0.1666666666666666,0.0833333333333333,0.75,0,0
116,0.1119292725276248,11.19,Low,Medium,Routine Processing,0,436,60,IN,250/500,500,1362.31,0,MALE,High School,prof-specialty,bungie-jumping,wife,67600,-65300,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,VA,Arlington,16,1,NO,0,2,NO,82060,14920,7460,59680,Saab,93,2005,8309,60.23592280758418,0.1818181818181818,0.0909090909090909,0.7272727272727273,0,0
117,0.1084986181151692,10.85,Low,Medium,Routine Processing,0,91,26,IL,250/500,1000,1022.46,0,FEMALE,Associate,armed-forces,video-games,other-relative,52700,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,SC,Arlington,15,3,,0,2,,74200,7420,7420,59360,Jeep,Wrangler,1996,5606,72.57007609099622,0.1,0.1,0.8,0,1
118,0.1055482589477508,10.55,Low,Medium,Routine Processing,0,277,46,IL,250/500,2000,1177.57,0,FEMALE,Associate,adm-clerical,video-games,husband,0,-65500,Vehicle Theft,,Minor Damage,Police,VA,Arlington,4,1,,2,3,NO,3870,430,860,2580,Jeep,Wrangler,2010,8113,3.2864288322562567,0.1111111111111111,0.2222222222222222,0.6666666666666666,1,0
119,0.1019883496265441,10.2,Low,Medium,Routine Processing,0,235,39,IL,100/300,500,1046.58,4000000,MALE,MD,tech-support,exercise,wife,0,-31700,Vehicle Theft,,Trivial Damage,,NY,Hillsdale,1,1,,2,1,NO,4950,450,900,3600,Chevrolet,Silverado,2010,1478,4.729690993521757,0.0909090909090909,0.1818181818181818,0.7272727272727273,1,0
120,0.1016769509585593,10.17,Low,Medium,Routine Processing,0,290,48,IL,250/500,500,1161.03,5000000,MALE,Associate,adm-clerical,video-games,not-in-family,45300,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,VA,Northbrook,20,2,,1,1,,41520,5190,5190,31140,Nissan,Ultima,2014,660,35.76134983592155,0.125,0.125,0.75,0,1
121,0.1000157664087261,10.0,Low,Low,Routine Processing,0,238,39,IN,250/500,2000,1488.02,0,FEMALE,JD,protective-serv,exercise,other-relative,0,-39200,Vehicle Theft,,Minor Damage,Police,NY,Northbrook,9,1,YES,1,3,YES,5500,1100,550,3850,Chevrolet,Tahoe,2010,3003,3.696186879208613,0.2,0.1,0.7,0,0
122,0.0994923632951805,9.95,Low,Low,Routine Processing,0,134,32,IL,500/1000,500,1612.43,0,FEMALE,MD,other-service,yachting,own-child,36400,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,Springfield,2,1,,2,1,YES,64240,11680,11680,40880,BMW,3 Series,2015,8772,39.84048919953114,0.1818181818181818,0.1818181818181818,0.6363636363636364,1,0
123,0.097038334636093,9.7,Low,Low,Routine Processing,0,137,30,IL,250/500,500,1039.55,0,MALE,MD,exec-managerial,kayaking,unmarried,55600,-59700,Multi-vehicle Collision,Front Collision,Minor Damage,Other,WV,Columbus,4,3,,2,1,,74030,6730,13460,53840,Chevrolet,Tahoe,2005,1158,71.21350584387476,0.0909090909090909,0.1818181818181818,0.7272727272727273,1,1
124,0.095281310209413,9.53,Low,Low,Routine Processing,0,164,31,IN,500/1000,500,1114.68,0,FEMALE,Associate,other-service,reading,husband,44500,-55900,Vehicle Theft,,Trivial Damage,Police,SC,Springfield,5,1,YES,1,0,NO,4320,480,480,3360,Mercedes,E400,2002,1456,3.8755517278501457,0.1111111111111111,0.1111111111111111,0.7777777777777778,1,0
125,0.0947022317693241,9.47,Low,Low,Routine Processing,0,295,46,IN,100/300,500,1672.88,0,FEMALE,High School,armed-forces,dancing,wife,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Columbus,5,1,YES,1,1,NO,60700,12140,6070,42490,Honda,Civic,1997,5883,36.28473052460427,0.2,0.1,0.7,1,0
126,0.0899646217952986,9.0,Low,Low,Routine Processing,0,78,29,IL,250/500,1000,1234.2,6000000,MALE,Masters,other-service,bungie-jumping,other-relative,0,0,Vehicle Theft,,Minor Damage,Police,NY,Northbrook,3,1,YES,2,2,NO,7500,750,1500,5250,Nissan,Maxima,2002,1444,6.076810889645114,0.1,0.2,0.7,1,0
127,0.0895671610575366,8.96,Low,Low,Routine Processing,0,196,39,IN,500/1000,2000,1475.73,0,FEMALE,High School,handlers-cleaners,camping,own-child,57000,-27300,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,8,3,,2,0,NO,60400,6040,6040,48320,Nissan,Pathfinder,2014,8239,40.928896207300795,0.1,0.1,0.8,0,1
128,0.0890872064321272,8.91,Low,Low,Routine Processing,0,299,44,OH,500/1000,1000,1653.32,0,FEMALE,College,other-service,bungie-jumping,other-relative,0,-48800,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Springfield,3,1,YES,2,0,,54240,6780,6780,40680,Suburu,Impreza,2009,2270,32.80671618319503,0.125,0.125,0.75,1,0
129,0.0888189410545033,8.88,Low,Low,Routine Processing,1,101,33,OH,100/300,1000,1053.04,7000000,FEMALE,Masters,other-service,reading,own-child,52000,-44500,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Northbrook,20,3,NO,1,3,,54240,9040,9040,36160,Saab,93,2013,976,51.5080148902226,0.1666666666666666,0.1666666666666666,0.6666666666666666,0,1
130,0.0872750192342617,8.73,Low,Low,Routine Processing,0,12,24,IL,500/1000,1000,1143.95,0,FEMALE,PhD,tech-support,paintball,other-relative,51400,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Riverwood,13,3,NO,2,1,,53370,5930,5930,41510,Nissan,Ultima,2011,7383,46.65413698151143,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,1
131,0.0866013421364796,8.66,Low,Low,Routine Processing,0,4,29,IL,250/500,500,1381.88,5000000,MALE,High School,tech-support,exercise,other-relative,0,-77800,Vehicle Theft,,Trivial Damage,Police,SC,Hillsdale,4,1,NO,0,2,,4200,840,420,2940,Jeep,Wrangler,2008,4653,3.0393377138391173,0.2,0.1,0.7,1,0
132,0.0864463081751269,8.64,Low,Low,Routine Processing,1,119,28,OH,250/500,2000,1079.92,0,MALE,High School,machine-op-inspct,hiking,husband,88800,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,PA,Riverwood,1,1,,0,1,YES,53600,6700,6700,40200,Volkswagen,Jetta,2007,826,49.63330617082747,0.125,0.125,0.75,1,0
133,0.0819643369326205,8.2,Low,Low,Routine Processing,0,209,39,IN,100/300,500,1264.99,0,MALE,PhD,transport-moving,polo,husband,67800,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,VA,Northbrook,22,1,,1,1,NO,37800,8400,4200,25200,Chevrolet,Silverado,1995,6600,29.881659143550543,0.2222222222222222,0.1111111111111111,0.6666666666666666,0,0
134,0.0797631315535235,7.98,Low,Low,Routine Processing,0,467,58,IN,500/1000,2000,977.4,0,MALE,Masters,transport-moving,bungie-jumping,own-child,82200,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,2,1,YES,2,3,NO,55700,5570,11140,38990,Nissan,Maxima,2014,4368,56.98792715367301,0.1,0.2,0.7,1,0
135,0.0775634246238688,7.76,Low,Low,Routine Processing,0,379,54,IL,100/300,500,1251.16,0,FEMALE,Associate,machine-op-inspct,kayaking,not-in-family,41400,0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,14,1,,0,1,NO,75960,6330,6330,63300,Jeep,Grand Cherokee,2010,4798,60.71165957990984,0.0833333333333333,0.0833333333333333,0.8333333333333334,0,0
136,0.0772828345608672,7.73,Low,Low,Routine Processing,0,97,27,OH,500/1000,500,1588.26,0,FEMALE,High School,tech-support,movies,husband,56700,-49300,Multi-vehicle Collision,Side Collision,Total Loss,Other,VA,Riverwood,22,3,YES,2,1,YES,75690,8410,8410,58870,Saab,95,2014,4657,47.6559253522723,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,1
137,0.0758880887957885,7.59,Low,Low,Routine Processing,0,304,49,IN,100/300,1000,1525.86,0,FEMALE,PhD,craft-repair,camping,own-child,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Other,NC,Northbend,2,1,YES,1,1,YES,73370,13340,6670,53360,Saab,95,2013,4866,48.084358984441565,0.1818181818181818,0.0909090909090909,0.7272727272727273,1,0
138,0.0739210649919009,7.39,Low,Low,Routine Processing,1,258,46,IN,100/300,1000,1110.37,10000000,MALE,MD,machine-op-inspct,hiking,other-relative,34400,-56800,Multi-vehicle Collision,Side Collision,Total Loss,Other,NY,Riverwood,14,3,NO,0,1,,47700,4770,9540,33390,Accura,MDX,1997,5800,42.958653421832366,0.1,0.2,0.7,0,1
139,0.0730827269316771,7.31,Low,Low,Routine Processing,0,266,42,IL,500/1000,1000,763.67,0,MALE,Associate,prof-specialty,movies,own-child,12800,-49700,Single Vehicle Collision,Side Collision,Total Loss,Police,SC,Northbrook,12,1,YES,1,3,YES,70830,7870,7870,55090,Jeep,Grand Cherokee,2005,6047,92.74948603454372,0.1111111111111111,0.1111111111111111,0.7777777777777778,0,0
140,0.0727146826838028,7.27,Low,Low,Routine Processing,0,359,47,OH,100/300,2000,1367.68,0,FEMALE,MD,handlers-cleaners,basketball,unmarried,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,SC,Arlington,13,1,NO,0,3,NO,55500,5550,11100,38850,Mercedes,C300,2012,7753,40.579667758540005,0.1,0.2,0.7,0,0
141,0.0704706989970631,7.05,Low,Low,Routine Processing,0,84,30,IL,500/1000,2000,1035.79,0,FEMALE,MD,protective-serv,kayaking,wife,44400,-51500,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,9,1,NO,1,0,YES,57640,5240,10480,41920,Volkswagen,Passat,2010,4246,55.64834570714141,0.0909090909090909,0.1818181818181818,0.7272727272727273,0,0
142,0.0692636413168006,6.93,Low,Low,Routine Processing,0,410,54,IL,100/300,2000,714.03,0,MALE,MD,protective-serv,board-games,own-child,0,-17000,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,Northbend,0,1,YES,0,2,NO,59520,9920,9920,39680,Honda,Accord,2001,1632,83.35784210747448,0.1666666666666666,0.1666666666666666,0.6666666666666666,1,0
143,0.0691252340952889,6.91,Low,Low,Routine Processing,0,298,49,OH,250/500,500,1451.01,0,FEMALE,College,other-service,exercise,own-child,47800,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Springfield,17,1,NO,2,2,NO,28100,2810,5620,19670,Jeep,Grand Cherokee,2012,2282,19.365821048786707,0.1,0.2,0.7,0,0
